,ccode,StYear,DispNum3,Major_Dispute
0,2,1816,1,0.0
1,2,1817,1,0.0
2,2,1818,1,0.0
3,2,1822,1,0.0
4,2,1823,1,0.0
5,2,1824,2,0.0
6,2,1825,1,0.0
7,2,1834,1,0.0
8,2,1835,1,0.0
9,2,1836,2,0.0
10,2,1837,1,0.0
11,2,1838,1,0.0
12,2,1839,2,0.0
13,2,1842,1,0.0
14,2,1843,1,0.0
15,2,1846,1,0.0
16,2,1850,2,0.0
17,2,1852,1,0.0
18,2,1853,1,0.0
19,2,1854,2,0.0
20,2,1855,2,0.0
21,2,1856,2,0.0
22,2,1857,1,0.0
23,2,1858,2,0.0
24,2,1859,1,0.0
25,2,1860,2,0.0
26,2,1861,2,0.0
27,2,1863,1,0.0
28,2,1864,2,0.0
29,2,1865,1,0.0
30,2,1866,3,0.0
31,2,1868,1,0.0
32,2,1869,1,0.0
33,2,1870,2,0.0
34,2,1873,2,0.0
35,2,1875,2,0.0
36,2,1876,1,0.0
37,2,1880,1,0.0
38,2,1881,2,0.0
39,2,1882,1,0.0
40,2,1883,1,0.0
41,2,1885,2,1.0
42,2,1886,1,0.0
43,2,1887,1,0.0
44,2,1888,2,0.0
45,2,1889,1,0.0
46,2,1891,2,0.0
47,2,1893,1,0.0
48,2,1895,2,0.0
49,2,1896,2,0.0
50,2,1898,1,1.0
51,2,1900,2,1.0
52,2,1902,2,0.0
53,2,1903,3,0.0
54,2,1904,1,0.0
55,2,1905,2,0.0
56,2,1908,1,0.0
57,2,1909,1,0.0
58,2,1910,1,0.0
59,2,1911,3,0.0
60,2,1912,1,0.0
61,2,1913,1,0.0
62,2,1914,3,1.0
63,2,1915,2,0.0
64,2,1916,4,0.0
65,2,1917,2,1.0
66,2,1918,4,0.0
67,2,1919,1,0.0
68,2,1921,3,0.0
69,2,1926,2,1.0
70,2,1927,1,0.0
71,2,1929,1,1.0
72,2,1932,1,0.0
73,2,1933,1,0.0
74,2,1937,1,0.0
75,2,1939,2,0.0
76,2,1940,3,0.0
77,2,1941,4,2.0
78,2,1943,1,0.0
79,2,1946,2,1.0
80,2,1948,1,0.0
81,2,1949,2,0.0
82,2,1950,2,2.0
83,2,1951,2,2.0
84,2,1952,1,0.0
85,2,1953,3,2.0
86,2,1954,5,1.0
87,2,1955,3,0.0
88,2,1956,4,1.0
89,2,1957,4,1.0
90,2,1958,9,2.0
91,2,1959,3,0.0
92,2,1960,4,0.0
