,StAbb,Count
0,AAB,1.0
1,AFG,37.0
2,ALB,31.0
3,ALG,9.0
4,ANG,15.0
5,ARG,72.0
6,ARM,11.0
7,AUH,41.0
8,AUL,15.0
9,AUS,10.0
10,AZE,16.0
11,BAD,3.0
12,BAH,8.0
13,BAR,1.0
14,BAV,4.0
15,BEL,24.0
16,BEN,3.0
17,BFO,3.0
18,BHM,1.0
19,BHU,1.0
20,BLR,1.0
21,BLZ,5.0
22,BNG,19.0
23,BOL,36.0
24,BOS,5.0
25,BOT,14.0
26,BRA,44.0
27,BUI,12.0
28,BUL,52.0
29,CAM,35.0
30,CAN,29.0
31,CAO,10.0
32,CDI,8.0
33,CEN,4.0
34,CHA,18.0
35,CHL,60.0
36,CHN,244.0
37,COL,53.0
38,COM,1.0
39,CON,13.0
40,COS,16.0
41,CRO,12.0
42,CUB,30.0
43,CYP,20.0
44,CZE,19.0
45,CZR,3.0
46,DEN,25.0
47,DJI,4.0
48,DMA,1.0
49,DOM,18.0
50,DRC,21.0
51,DRV,29.0
52,ECU,47.0
53,EGY,88.0
54,EQG,3.0
55,ERI,20.0
56,EST,11.0
57,ETH,54.0
58,FIN,12.0
59,FRN,178.0
60,GAB,3.0
61,GAM,3.0
62,GDR,9.0
63,GFR,19.0
64,GHA,15.0
65,GMY,181.0
66,GNB,2.0
67,GRC,89.0
68,GRG,12.0
69,GRN,1.0
70,GUA,25.0
71,GUI,14.0
72,GUY,12.0
73,HAI,25.0
74,HAN,4.0
75,HON,35.0
76,HSE,2.0
77,HSG,2.0
78,HUN,35.0
79,ICE,9.0
80,IND,104.0
81,INS,31.0
82,IRE,5.0
83,IRN,164.0
84,IRQ,124.0
85,ISR,128.0
86,ITA,132.0
87,JAM,1.0
88,JOR,33.0
89,JPN,177.0
90,KEN,27.0
91,KOR,4.0
92,KUW,27.0
93,KYR,8.0
94,KZK,2.0
95,LAO,19.0
96,LAT,9.0
97,LBR,16.0
98,LEB,16.0
99,LES,3.0
100,LIB,36.0
101,LIE,1.0
102,LIT,14.0
103,LUX,4.0
104,MAA,8.0
105,MAC,6.0
106,MAD,1.0
107,MAG,1.0
108,MAL,17.0
109,MAW,2.0
110,MEC,1.0
111,MEX,39.0
112,MLD,4.0
113,MLI,7.0
114,MLT,3.0
115,MOD,1.0
116,MON,8.0
117,MOR,32.0
118,MYA,40.0
119,MZM,6.0
120,NAM,2.0
121,NEP,8.0
122,NEW,6.0
123,NIC,47.0
124,NIG,14.0
125,NIR,5.0
126,NOR,32.0
127,NTH,39.0
128,OMA,11.0
129,PAK,75.0
130,PAL,1.0
131,PAN,16.0
132,PAP,4.0
133,PAR,35.0
134,PER,70.0
135,PHI,25.0
136,PNG,10.0
137,POL,28.0
138,POR,48.0
139,PRK,54.0
140,QAT,9.0
141,ROK,68.0
142,RUM,38.0
143,RUS,60.0
144,RVN,19.0
145,RWA,17.0
146,SAF,29.0
147,SAL,20.0
148,SAU,41.0
149,SAX,5.0
150,SEN,13.0
151,SIC,5.0
152,SIE,7.0
153,SIN,4.0
154,SLO,2.0
155,SLU,1.0
156,SLV,4.0
157,SOL,2.0
158,SOM,33.0
159,SPN,80.0
160,SRI,5.0
161,SUD,45.0
162,SUR,4.0
163,SVG,1.0
164,SWA,3.0
165,SWD,25.0
166,SWZ,12.0
167,SYR,88.0
168,TAJ,9.0
169,TAW,59.0
170,TAZ,15.0
171,THI,81.0
172,TKM,1.0
173,TOG,9.0
174,TRI,3.0
175,TUN,11.0
176,TUR,174.0
177,TUS,2.0
178,UAE,12.0
179,UGA,43.0
180,UKG,266.0
181,UKR,10.0
182,URU,7.0
183,USA,372.0
184,USR,301.0
185,UZB,14.0
186,VEN,46.0
187,VTM,9.0
188,WRT,4.0
189,YAR,15.0
190,YEM,8.0
191,YPR,12.0
192,YUG,62.0
193,ZAI,25.0
194,ZAM,32.0
195,ZIM,22.0
