,DispNum3,DispNum4,Major_Disp,IncidNum3,IncidNum4,StDay_Inc,StMon_Inc,StYear_Inc,EndDay_Inc,EndMon_Inc,EndYear_Inc,Duration,TBI,Fatality_Inc,FatalPre_Inc,Action_Inc,HostLev_Inc,NumA,RevType1_Inc,RevType2_Inc,Version,StAbb,ccode,StDay_Part,StMon_Part,StYear_Part,EndDay_Part,EndMon_Part,EndYear_Part,InSide A,SideA,Fatality_Part,FatalPre_Part,Action_Part,HostLev_Part,RevType1_Part,RevType2_Part,MonthYear,Disp_Sequence
0,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,BEL,211.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
1,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,CAN,20.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
2,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,DEN,390.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
3,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,FRN,220.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
4,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,GMY,255.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
5,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,GRC,350.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
6,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,ITA,325.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
7,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,NTH,210.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
8,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,POR,235.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
9,3551,-9,0,3551001,-9,16,7,1992,16,7,1992,1,129,0,0,7,3,13,2,0,4.01,SPN,230.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,1992-07-01,001
