,DispNum3,IncidNum3,DispNum4,IncidNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Duration,TBI,Fatality,FatalPre,Action,HostLev,NumA,RevType1,RevType2,Version,DispNum3,IncidNum3,DispNum4,IncidNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,InSide A,SideA,Fatality,FatalPre,Action,HostLev,RevType1,RevType2,Version
0,3551.0,3551001.0,-9.0,-9.0,16.0,7.0,1992.0,16.0,7.0,1992.0,1.0,129.0,0.0,0.0,7.0,3.0,13.0,2.0,0.0,4.01,3551,3551001,-9,-9,BEL,211,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
1,3551.0,3551002.0,-9.0,-9.0,21.0,11.0,1992.0,24.0,9.0,1996.0,1404.0,-9.0,0.0,0.0,13.0,4.0,9.0,2.0,0.0,4.01,3551,3551001,-9,-9,CAN,20,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
2,3551.0,3551003.0,-9.0,-9.0,-9.0,1.0,1993.0,-9.0,1.0,1993.0,-9.0,-9.0,0.0,0.0,7.0,3.0,3.0,2.0,0.0,4.01,3551,3551001,-9,-9,DEN,390,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
3,3551.0,3551004.0,-9.0,-9.0,14.0,1.0,1993.0,-9.0,1.0,1993.0,-9.0,16.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,FRN,220,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
4,3551.0,3551005.0,-9.0,-9.0,30.0,1.0,1993.0,30.0,1.0,1993.0,1.0,4.0,0.0,0.0,15.0,4.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,GMY,255,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
5,3551.0,3551006.0,-9.0,-9.0,3.0,2.0,1993.0,3.0,2.0,1993.0,1.0,25.0,0.0,0.0,15.0,4.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,GRC,350,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
6,3551.0,3551007.0,-9.0,-9.0,28.0,2.0,1993.0,28.0,2.0,1993.0,1.0,43.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,ITA,325,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
7,3551.0,3551008.0,-9.0,-9.0,12.0,4.0,1993.0,12.0,4.0,1993.0,1.0,19.0,0.0,0.0,7.0,3.0,3.0,2.0,0.0,4.01,3551,3551001,-9,-9,NTH,210,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
8,3551.0,3551009.0,-9.0,-9.0,1.0,5.0,1993.0,1.0,11.0,1993.0,185.0,170.0,0.0,0.0,13.0,4.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,POR,235,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
9,3551.0,3551010.0,-9.0,-9.0,18.0,10.0,1993.0,18.0,10.0,1993.0,1.0,-9.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3551,3551001,-9,-9,SPN,230,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,4.01
